date,spend,meal,meal_cost,note,photos,video
2026-08-11,0,밥에 김,400,월요일이라 아무 데도 안 나갔다,,
2026-08-12,3800,편의점 도시락,3800,장 보기 귀찮으면 결국 더 비싸다,,
2026-08-13,0,어제 남은 밥에 계란,700,계란 두 개 남음,,
2026-08-14,2400,콩나물 한 봉지,900,콩나물은 삼일을 간다,,
2026-08-15,0,콩나물국에 밥,300,이틀째 콩나물,,
2026-08-16,18000,쌀 10kg,0,제일 큰 지출이고 제일 오래 간다,,
2026-08-17,0,새 쌀로 밥,300,쌀이 있으면 마음이 편하다,,
2026-08-18,1200,라면 한 봉지,1200,라면은 비상식량이 아니라 주식이다,,
2026-08-19,0,밥에 김치,200,김치는 얻어온 것이다,,
2026-08-20,5600,계란 한 판,0,한 판이면 열흘은 간다,,
2026-08-21,0,계란밥,560,계란 한 알에 187원,,
2026-08-22,0,계란국,600,이틀째 계란,,
2026-08-23,9800,장 봄 - 대파 양파 두부,0,두부가 제일 싸다,,
2026-08-24,0,두부부침,900,기름은 원래 있던 것,,
2026-08-25,0,된장국,700,된장은 작년 것,,
2026-08-26,0,어제 남은 밥에 계란,700,냉장고에 계란 두 개 남았다,,
2026-08-27,4300,편의점 김밥과 컵라면,4300,장 보러 나가기가 귀찮았다,,
2026-08-28,0,밥과 김,400,오늘은 아무 데도 안 나갔다,,
2026-08-29,12500,쌀 10kg 삼,0,이번 달 제일 큰 지출이고 제일 오래 간다,,
2026-08-30,3200,라면에 파 넣음,1100,파 한 단이 일주일을 간다,,
